id,name,email,lifetime_value,successful_payment_count,failed_payment_count,average_payment_delay_days,created_at
CUST-1001,Ananya Sharma,ananya.sharma1@enterprise.org,72382.18,16,1,3.3,2025-10-23T13:16:03.950149
CUST-1002,Vikram Kulkarni,vikram.kulkarni2@acme.io,12786.76,7,1,1.1,2025-09-24T13:16:03.985399
CUST-1003,Rohan Banerjee,rohan.banerjee3@yahoo.com,180424.81,36,3,1.1,2025-10-01T13:16:03.985399
CUST-1004,Rahul Sharma,rahul.sharma4@yahoo.com,176044.15,23,2,0.8,2026-02-07T13:16:03.985399
CUST-1005,Ananya Gupta,ananya.gupta5@acme.io,28695.51,24,4,1.3,2026-07-07T13:16:03.985399
CUST-1006,Nitin Banerjee,nitin.banerjee6@gmail.com,243413.36,26,0,2.5,2025-09-11T13:16:03.985399
CUST-1007,Swati Chawla,swati.chawla7@techcorp.in,52110.7,6,0,3.0,2026-03-03T13:16:03.985399
CUST-1008,Vikram Nair,vikram.nair8@gmail.com,98130.93,31,5,3.8,2026-05-07T13:16:03.985399
CUST-1009,Pooja Chawla,pooja.chawla9@yahoo.com,169192.92,45,5,0.4,2025-09-07T13:16:03.985399
CUST-1010,Sneha Banerjee,sneha.banerjee10@enterprise.org,64978.68,31,3,1.3,2025-09-05T13:16:03.985399
CUST-1011,Nisha Nair,nisha.nair11@enterprise.org,84449.27,5,1,3.7,2026-02-18T13:16:03.985399
CUST-1012,Arjun Kapoor,arjun.kapoor12@gmail.com,56690.8,38,5,1.5,2025-08-28T13:16:03.985399
CUST-1013,Ritu Bhat,ritu.bhat13@enterprise.org,117418.7,18,1,1.2,2025-10-15T13:16:03.985399
CUST-1014,Nisha Kapoor,nisha.kapoor14@enterprise.org,148223.57,39,3,1.7,2026-05-20T13:16:03.985399
CUST-1015,Gaurav Saxena,gaurav.saxena15@gmail.com,190166.63,9,1,2.9,2025-12-25T13:16:03.985399
CUST-1016,Swati Gupta,swati.gupta16@acme.io,98496.73,31,4,1.2,2025-10-19T13:16:03.985399
CUST-1017,Rohan Patel,rohan.patel17@enterprise.org,221773.17,19,5,1.6,2026-03-01T13:16:03.985399
CUST-1018,Kavya Joshi,kavya.joshi18@acme.io,5795.1,18,4,3.5,2025-11-12T13:16:03.985399
CUST-1019,Ananya Singh,ananya.singh19@enterprise.org,129377.41,14,1,1.7,2026-05-08T13:16:03.985399
CUST-1020,Nisha Trivedi,nisha.trivedi20@gmail.com,151741.42,33,0,0.6,2026-01-25T13:16:03.985399
CUST-1021,Meera Nair,meera.nair21@gmail.com,64013.54,38,0,0.5,2025-11-23T13:16:03.988755
CUST-1022,Vikram Banerjee,vikram.banerjee22@yahoo.com,36455.91,32,4,0.8,2025-11-01T13:16:03.988755
CUST-1023,Swati Deshmukh,swati.deshmukh23@yahoo.com,232583.81,14,5,1.5,2025-08-31T13:16:03.988755
CUST-1024,Pooja Agarwal,pooja.agarwal24@techcorp.in,115614.1,17,1,0.4,2026-07-19T13:16:03.988755
CUST-1025,Manish Banerjee,manish.banerjee25@yahoo.com,149167.83,2,0,3.2,2026-06-29T13:16:03.988755
CUST-1026,Divya Gupta,divya.gupta26@gmail.com,215610.67,6,4,1.1,2025-11-23T13:16:03.988755
CUST-1027,Karan Banerjee,karan.banerjee27@yahoo.com,182221.38,38,4,2.2,2025-11-29T13:16:03.988755
CUST-1028,Kavya Rao,kavya.rao28@gmail.com,28748.05,29,2,2.0,2025-12-02T13:16:03.988755
CUST-1029,Priya Patel,priya.patel29@gmail.com,103642.21,23,0,1.2,2026-04-23T13:16:03.988755
CUST-1030,Nisha Agarwal,nisha.agarwal30@yahoo.com,108361.0,19,3,1.2,2026-06-21T13:16:03.988755
CUST-1031,Nitin Banerjee,nitin.banerjee31@gmail.com,17394.14,36,0,4.4,2026-03-30T13:16:03.988755
CUST-1032,Sneha Deshmukh,sneha.deshmukh32@acme.io,122932.81,27,0,0.8,2026-07-28T13:16:03.988755
CUST-1033,Arjun Kapoor,arjun.kapoor33@acme.io,74886.06,37,5,3.3,2026-05-11T13:16:03.988755
CUST-1034,Karan Singh,karan.singh34@yahoo.com,242333.79,39,5,2.5,2026-02-19T13:16:03.988755
CUST-1035,Priya Verma,priya.verma35@techcorp.in,121813.19,35,1,0.4,2025-11-11T13:16:03.988755
CUST-1036,Vikram Joshi,vikram.joshi36@gmail.com,150783.6,45,1,1.9,2025-10-11T13:16:03.988755
CUST-1037,Divya Kulkarni,divya.kulkarni37@techcorp.in,14736.71,7,3,3.0,2025-10-13T13:16:03.988755
CUST-1038,Gaurav Reddy,gaurav.reddy38@outlook.com,55043.5,22,1,1.3,2026-05-23T13:16:03.988755
CUST-1039,Meera Agarwal,meera.agarwal39@outlook.com,232609.49,6,0,2.1,2025-10-14T13:16:03.988755
CUST-1040,Ananya Gupta,ananya.gupta40@techcorp.in,57222.81,18,1,4.2,2026-06-24T13:16:03.988755
CUST-1041,Divya Chawla,divya.chawla41@outlook.com,43647.97,36,5,1.4,2025-08-29T13:16:03.988755
CUST-1042,Gaurav Sharma,gaurav.sharma42@enterprise.org,205190.51,21,5,0.6,2026-05-22T13:16:03.988755
CUST-1043,Rahul Patel,rahul.patel43@gmail.com,186892.09,11,2,1.3,2026-04-13T13:16:03.988755
CUST-1044,Siddharth Rao,siddharth.rao44@enterprise.org,160388.3,18,4,2.2,2026-07-03T13:16:03.988755
CUST-1045,Vikram Deshmukh,vikram.deshmukh45@outlook.com,15801.26,23,1,2.9,2026-03-17T13:16:03.988755
CUST-1046,Sneha Agarwal,sneha.agarwal46@techcorp.in,177888.52,37,0,0.6,2026-05-14T13:16:03.988755
CUST-1047,Nisha Verma,nisha.verma47@outlook.com,147714.84,11,3,0.7,2026-02-22T13:16:03.988755
CUST-1048,Pooja Verma,pooja.verma48@outlook.com,56468.75,17,5,0.6,2025-10-16T13:16:03.988755
CUST-1049,Kavya Iyer,kavya.iyer49@enterprise.org,42865.57,17,1,4.4,2026-04-30T13:16:03.988755
CUST-1050,Kavya Sharma,kavya.sharma50@yahoo.com,185458.3,23,3,3.6,2026-03-24T13:16:03.988755
CUST-1051,Rahul Joshi,rahul.joshi51@enterprise.org,31483.43,4,3,1.1,2025-12-06T13:16:03.988755
CUST-1052,Pooja Singh,pooja.singh52@yahoo.com,59616.27,44,1,1.9,2026-03-09T13:16:03.988755
CUST-1053,Vikram Kapoor,vikram.kapoor53@outlook.com,162163.03,27,5,4.4,2025-10-28T13:16:03.988755
CUST-1054,Siddharth Sharma,siddharth.sharma54@gmail.com,219874.41,18,1,2.7,2026-03-16T13:16:03.988755
CUST-1055,Priya Patel,priya.patel55@techcorp.in,111468.12,22,3,2.8,2025-11-10T13:16:03.988755
CUST-1056,Ananya Bhat,ananya.bhat56@techcorp.in,51569.3,4,5,2.0,2025-11-05T13:16:03.988755
CUST-1057,Nisha Rao,nisha.rao57@outlook.com,110667.86,44,2,2.8,2026-05-27T13:16:03.988755
CUST-1058,Meera Trivedi,meera.trivedi58@outlook.com,168388.76,22,3,3.2,2025-10-19T13:16:03.988755
CUST-1059,Amit Rao,amit.rao59@acme.io,167907.71,26,5,3.4,2026-05-01T13:16:03.988755
CUST-1060,Swati Kulkarni,swati.kulkarni60@outlook.com,104488.42,2,2,1.4,2025-12-21T13:16:03.988755
CUST-1061,Manish Iyer,manish.iyer61@enterprise.org,83951.06,30,3,3.1,2025-11-10T13:16:03.988755
CUST-1062,Ritu Joshi,ritu.joshi62@enterprise.org,25774.91,34,5,2.9,2026-02-08T13:16:03.988755
CUST-1063,Vikram Nair,vikram.nair63@enterprise.org,81052.77,14,1,0.2,2026-03-26T13:16:03.988755
CUST-1064,Ritu Iyer,ritu.iyer64@gmail.com,116576.96,42,4,1.0,2026-01-14T13:16:03.988755
CUST-1065,Ritu Bhat,ritu.bhat65@yahoo.com,41154.98,2,0,3.5,2026-04-08T13:16:03.988755
CUST-1066,Sneha Trivedi,sneha.trivedi66@acme.io,17303.5,17,0,2.1,2025-12-04T13:16:03.988755
CUST-1067,Gaurav Banerjee,gaurav.banerjee67@techcorp.in,82738.0,30,4,3.7,2025-11-13T13:16:03.988755
CUST-1068,Kavya Banerjee,kavya.banerjee68@acme.io,224815.99,32,3,1.2,2026-03-25T13:16:03.988755
CUST-1069,Rahul Trivedi,rahul.trivedi69@acme.io,158553.37,19,3,0.4,2026-03-05T13:16:03.988755
CUST-1070,Divya Kapoor,divya.kapoor70@outlook.com,83328.84,36,0,0.7,2026-04-02T13:16:03.988755
CUST-1071,Arjun Mehta,arjun.mehta71@enterprise.org,57418.45,28,3,1.6,2025-12-03T13:16:03.988755
CUST-1072,Kavya Verma,kavya.verma72@yahoo.com,209058.34,26,4,4.3,2026-07-19T13:16:03.988755
CUST-1073,Manish Bhat,manish.bhat73@acme.io,6444.54,24,2,3.4,2025-12-27T13:16:03.988755
CUST-1074,Nisha Banerjee,nisha.banerjee74@techcorp.in,224963.78,33,1,1.3,2025-11-23T13:16:03.988755
CUST-1075,Rohan Bhat,rohan.bhat75@outlook.com,168874.04,27,5,0.8,2025-12-02T13:16:03.988755
CUST-1076,Amit Iyer,amit.iyer76@techcorp.in,11606.78,27,4,2.6,2026-07-16T13:16:03.988755
CUST-1077,Vikram Deshmukh,vikram.deshmukh77@yahoo.com,217378.58,13,0,1.2,2026-02-12T13:16:03.988755
CUST-1078,Karan Agarwal,karan.agarwal78@outlook.com,87687.63,26,2,3.4,2025-12-26T13:16:03.988755
